newPattern,mbp_bird_whispering
time,0
zoom,0.80
pattAdd,mbp_zako_common
pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced

time,1500
pattAdd,mbp_bird_whispering_0m
pattAdd,mbp_bird_whispering_1m

time,5000
move,bfCenterX,bfCenterY,1000


newPattern,mbp_bird_whispering_single
time,0
zoom,0.80
pattAdd,mbp_zako_common
pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced

time,1500
pattAdd,mbp_bird_whispering_0m_single

time,5000
move,bfCenterX,bfCenterY,1000
