newPattern,mbp_wolf_bluepaw
time,0
zoom,0.75
pattAdd,mbp_zako_common
pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced
transformSmall,anim_wolf_small_blue,300,0.8,2,2

time,2000
move,bfCenterX+200,bfCenterY,500

time,2800
facePoint,bfMaxX
pattAdd,mbp_wolf_bluepaw_0m2v


newPattern,mbp_wolf_redclaw
time,0
pattAdd,mbp_zako_common

pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced
transformSmall,anim_wolf_small_red,300,0.8,2,2

time,2000
move,bfCenterX-200,bfCenterY,500

time,2800
facePoint,bfMinX
pattAdd,mbp_wolf_redclaw_0m2v
