,,
,,
## HARD MODE,,
newPattern,mbp_wiz0,
time,0,
dialog,2000,A spell to twist time...
,,
,,
timeRepeating,0,200000
pattAdd,mbp_astralSeal,
,,
time,1000,
pattAdd,mbp_idleW,
,,
time,20000,
pattAdd,mbp_introW,
,,
timeRepeating,42000,9000
pattAdd,mbp_moonburst,
,,
,,
,,
,,
,,
newPattern,mbp_sps0,
time,0,
dialog,2000,A hex to bend space...
,,
,,
time,1000,
pattAdd,mbp_introS,
,,
time,20000,
pattAdd,mbp_idleS,
,,
timeRepeating,42000,27000
pattAdd,mbp_fleche,
,,
timeRepeating,51000,27000
pattAdd,mbp_swordthrust,
,,
timeRepeating,60000,27000
pattAdd,mbp_noviDark,
,,
,,
,,
,,
,,
## NORMAL MODE,,
newPattern,mbp_wiz1,
time,0,
dialog,2000,A spell to twist time...
,,
time,1000,
pattAdd,mbp_idleW,
,,
time,20000,
pattAdd,mbp_introW_n,
,,
timeRepeating,42000,9000
pattAdd,mbp_moonburst_n,
,,
,,
,,
,,
,,
newPattern,mbp_sps1,
time,0,
dialog,2000,A hex to bend space...
,,
,,
time,1000,
pattAdd,mbp_introS_n,
,,
time,20000,
pattAdd,mbp_idleS,
,,
timeRepeating,42000,27000
pattAdd,mbp_fleche,
,,
timeRepeating,51000,27000
pattAdd,mbp_swordthrust,
,,
timeRepeating,60000,27000
pattAdd,mbp_noviDark,
