####################################################################
####################################################################
newPattern,mbp_queens_shield_0m
time,0
pattVars,warningDelay;0,warningDelay2;0,spawnDelay;15200,element;purple,radius;600,trgBinary;all,warnMsg;1,displayNumber;0
pattAddPos,bp_colormatch2,bfCenterX,bfCenterY
setVar,shotR,random(360)
setVar,shotSign,randomSign
pattVars,refR;shotR,refSign;shotSign
pattAdd,mbp_kekkai
pattVars,refR;shotR+180,refSign;shotSign
pattAdd,mbp_kekkai

####################################################################
####################################################################
newPattern,mbp_kekkai
time,0
setVar,calcR,refR
setVar,shotSign,refSign
setVar,calcRA,7*shotSign
setVar,calcR2,calcR
setVar,calcB,30
setVar,calcBA,7
setVar,fixD,1000
setVar,baseDelay,15000
setVar,baseDelay2,2800

setVar,secondDif,diffSwitch(2.1>2.5>3.5)
setVar,shotIdxMax,diffSwitch(50>60>99)
setVar,shotIdx,0


timeRepeatTimes,200,150,70
condVarCheck,shotIdx,<,shotIdxMax
setVar,calcRA,calcRA-shotSign*0.03
setVar,calcR,calcR+calcRA
setVar,calcR2,calcR2+calcRA-shotSign*0.3
setVar,calcB,calcB+calcBA
setVar,posX,enemyX+(2*calcB)*cos(calcR)-(fixD)*cos(calcR2)
setVar,posY,enemyY+(2*calcB)*sin(calcR)-(fixD)*sin(calcR2)
setVar,posX2,enemyX+(secondDif*calcB)*cos(calcR)-(fixD)*cos(calcR2)
setVar,posY2,enemyY+(secondDif*calcB)*sin(calcR)-(fixD)*sin(calcR2)

pattVars,warningDelay;baseDelay2,spawnDelay;baseDelay,scale;0.2,spd;4.3,dir;calcR,numPoints;2
pattVars,posX_0;posX,posY_0;posY
pattVars,posX_1;posX2,posY_1;posY2
pattAdd,bp_dark_moon_summon_mult

setVar,baseDelay,baseDelay-150
setVar,baseDelay2,baseDelay2-40
setVar,shotIdx,shotIdx+1
