newPattern,mbp_frog_songstress
time,0
zoom,0.94
pattAdd,mbp_zako_common

pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced

timeRepeating,3000,9000
pattAdd,mbp_frog_songstress_0m


newPattern,mbp_frog_musician
time,0
pattAdd,mbp_zako_common

time,1000
pattVars,warningDelay;0,spawnDelay;3000,y;bfCenterY,width;300,offset;0,spd;10,doubled;2,displayNumber;0,element;blue,warnMsg;1
pattAdd,bp_prsline_h

timeRepeating,3000,9000
pattAdd,mbp_frog_musician_0m
