,,,,,,,,,,
,,,,,,,,,,
newPattern,mbp_Arrowshot,,,,,,,,,
## total time: 11 seconds,,,,,,,,,,
time,0,,,,,,,,,
setVar,updown,(bfMaxY/4)*randomSign,,,,,,,,
setVar,dist,(bfMaxX/4)*randomSign,,,,,,,,
move,bfCenterX+dist,bfCenterY+updown,1000,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
timeRepeatTimes,1000,2000,5,,,,,,,
facePoint,bfCenterX,,,,,,,,,
orderBinRandom,1,1,1,1,,,,,,
setVar,targ,randomTargetId(orderBin0),,,,,,,,
setVar,xT,playerXPos(targ),,,,,,,,
setVar,yT,playerYPos(targ),,,,,,,,
setVar,ang,pointFrom(enemyX>enemyY>xT>yT),,,,,,,,
,,,,,,,,,,
pattVarReset,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;750,eraseDelay;3000,x;enemyX,y;enemyY,angle;ang,width;50,,,
pattAdd,bp_ray_single,,,,,,,,,
anim,0,1000,2000,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
newPattern,mbp_KnifeJuggle,,,,,,,,,
## total time: 11 seconds,,,,,,,,,,
time,0,,,,,,,,,
move,bfCenterX,bfCenterY,1000,,,,,,,
setVar,pcount,allyNum,,,,,,,,
time,0,,,,,,,,,
condVarCheck,pcount,<,2,,,,,,,
setVar,bullNum,3,,,,,,,,
time,0,,,,,,,,,
condVarCheck,pcount,==,2,,,,,,,
setVar,bullNum,2,,,,,,,,
time,0,,,,,,,,,
condVarCheck,pcount,>,2,,,,,,,
setVar,bullNum,1,,,,,,,,
,,,,,,,,,,
timeRepeatTimes,1000,1000,10,,,,,,,
orderBinRandom,1,1,1,1,,,,,,
,,,,,,,,,,
setVar,targOne,randomTargetId(orderBin0),,,,,,,,
setVar,xOne,playerXPos(targOne),,,,,,,,
setVar,yOne,playerYPos(targOne),,,,,,,,
setVar,angOne,pointFrom(enemyX>enemyY>xOne>yOne),,,,,,,,
,,,,,,,,,,
setVar,targTwo,randomTargetId(orderBin1),,,,,,,,
setVar,xTwo,playerXPos(targTwo),,,,,,,,
setVar,yTwo,playerYPos(targTwo),,,,,,,,
setVar,angTwo,pointFrom(enemyX>enemyY>xTwo>yTwo),,,,,,,,
,,,,,,,,,,
setVar,targThr,randomTargetId(orderBin2),,,,,,,,
setVar,xThr,playerXPos(targThr),,,,,,,,
setVar,yThr,playerYPos(targThr),,,,,,,,
setVar,angThr,pointFrom(enemyX>enemyY>xThr>yThr),,,,,,,,
,,,,,,,,,,
setVar,targFour,randomTargetId(orderBin3),,,,,,,,
setVar,xFour,playerXPos(targFour),,,,,,,,
setVar,yFour,playerYPos(targFour),,,,,,,,
setVar,angFour,pointFrom(enemyX>enemyY>xFour>yFour),,,,,,,,
,,,,,,,,,,
pattVarReset,,,,,,,,,,
