newPattern,mbp_wolf_snowfur
time,0
zoom,0.77
pattAdd,mbp_chu_common
setFlags,8

pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced


timeRepeating,2000,10000
pattAdd,mbp_wolf_snowfur_0m2v








####################################################################
####################################################################
newPattern,mbp_wolf_clone
time,0
setFlags,5

time,1000
move,bfMinX,bfMaxY+800,250

timeRepeating,2000,10000
pattAdd,mbp_wolf_clone_0m2v
