newPattern,mbp_mouse_rosemage
time,0
zoom,0.85
pattAdd,mbp_chu_common

pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced

time,1100
move,bfCenterX,bfCenterY,600
facePoint,bfMinX

time,1800
condDifficultyCheck,true,true,false
pattAdd,mbp_mouse_rosemage_0m_n

time,2000
condDifficultyCheck,false,false,true
pattAdd,mbp_mouse_rosemage_0m

newPattern,mbp_mouse_commander
time,0
pattAdd,mbp_chu_common

time,1100
move,bfCenterX,bfCenterY,600
facePoint,bfMaxX

time,1800
condDifficultyCheck,true,true,false
pattAdd,mbp_mouse_commander_0m_n

time,2000
condDifficultyCheck,false,false,true
pattAdd,mbp_mouse_commander_0m
