newPattern,mbp_mouse_axewielder
time,0
zoom,0.80
pattAdd,mbp_zako_common

pattVars,delay;0,hbsIndex;hbs(hbs_flutterstep),hbsDuration;999000,hbsStrength;0
pattAdd,bp_apply_hbs_synced

time,1000
pattVars,warningDelay;0,warningDelay2;0,spawnDelay;2500,hasFixed;true,element;blue,radius;300,trgBinary;all,warnMsg;1,displayNumber;0
pattAddPos,bp_colormatch2,bfCenterX,bfCenterY

time,1500
pattAdd,mbp_mouse_axewielder_0m

timeRepeating,3000,9000
pattAdd,mbp_mouse_axewielder_1m

newPattern,mbp_mouse_archer
time,0
pattAdd,mbp_zako_common

time,1500
pattAdd,mbp_mouse_archer_0m

timeRepeating,3000,9000
pattAdd,mbp_mouse_archer_1m
